name,datetime,ob_temp,ob_battery,channel,sensor_model,sensor_type,offset,value,units
sensor_2,06/02/2020 02:02,5.88,0,0,FM3 Battery Voltage,ob_voltage,0,3.583,V
sensor_2,06/02/2020 02:02,5.88,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,4.89,deg
sensor_2,06/02/2020 02:02,5.88,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,85.0244,deg
sensor_2,06/02/2020 02:02,5.88,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,0.9159,deg
sensor_2,06/02/2020 02:15,5.88,0,1,FM3 Onboard Temperature,ob_temp,0,5.88,c
sensor_2,06/02/2020 02:16,5.88,0,0,FM3 Battery Voltage,ob_voltage,0,3.59,V
sensor_2,06/02/2020 02:16,5.88,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,4.8901,deg
sensor_2,06/02/2020 02:16,5.88,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,85.0244,deg
sensor_2,06/02/2020 02:16,5.88,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,0.9152,deg
sensor_2,06/02/2020 02:45,5.47,0,1,FM3 Onboard Temperature,ob_temp,0,5.47,c
sensor_2,06/02/2020 02:46,5.47,0,0,FM3 Battery Voltage,ob_voltage,0,3.597,V
sensor_2,06/02/2020 02:46,5.47,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,4.8902,deg
sensor_2,06/02/2020 02:46,5.47,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,85.0243,deg
sensor_2,06/02/2020 02:46,5.47,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,0.9155,deg
sensor_2,06/02/2020 03:15,5.27,0,1,FM3 Onboard Temperature,ob_temp,0,5.27,c
sensor_2,06/02/2020 03:16,5.27,0,0,FM3 Battery Voltage,ob_voltage,0,3.597,V
sensor_2,06/02/2020 03:16,5.27,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,4.8901,deg
sensor_2,06/02/2020 03:16,5.27,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,85.0245,deg
sensor_2,06/02/2020 03:16,5.27,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,0.9149,deg
sensor_2,06/02/2020 03:45,5.47,0,1,FM3 Onboard Temperature,ob_temp,0,5.47,c
sensor_2,06/02/2020 03:46,5.47,0,0,FM3 Battery Voltage,ob_voltage,0,3.597,V
sensor_2,06/02/2020 03:46,5.47,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,4.8897,deg
sensor_2,06/02/2020 03:46,5.47,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,85.0247,deg
sensor_2,06/02/2020 03:46,5.47,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,0.916,deg
sensor_2,06/02/2020 04:15,5.47,0,1,FM3 Onboard Temperature,ob_temp,0,5.47,c
sensor_2,06/02/2020 04:16,5.47,0,0,FM3 Battery Voltage,ob_voltage,0,3.597,V
sensor_2,06/02/2020 04:16,5.47,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,4.8899,deg
