"time","summary","temperature","humidity","pressure","windSpeed","windGust","windBearing","cloudCover","country","city"
"1/1/2020 00:00:00","Clear","1.8","0.91","1031.1","2.48","4.32","114","0.02","England","London"
"1/1/2020 01:00:00","Clear","1.98","0.93","1030.9","2.12","2.91","106","0.03","England","London"
"1/1/2020 02:00:00","Clear","1.36","0.95","1030.3","2.26","3.95","101","0.02","England","London"
"1/1/2020 03:00:00","Clear","0.84","0.96","1029.9","2.36","4.61","99","0.01","England","London"
"1/1/2020 04:00:00","Clear","0.58","0.97","1029.7","2.29","4.34","101","0.02","England","London"
"1/1/2020 05:00:00","Clear","0.45","0.97","1029.6","2.2","3.67","106","0.02","England","London"
"1/1/2020 06:00:00","Clear","0.67","0.96","1029.7","2.07","3.09","115","0.02","England","London"
"1/1/2020 07:00:00","Clear","0.6","0.96","1029.8","1.49","1.81","132","0.02","England","London"
"1/1/2020 08:00:00","Clear","0.66","0.96","1029.6","1.37","1.65","147","0.04","England","London"
"1/1/2020 09:00:00","Clear","1.24","0.95","1029.5","1.29","1.58","157","0.04","England","London"
"1/1/2020 10:00:00","Clear","2.54","0.91","1029.5","1.26","1.54","164","0.03","England","London"
"1/1/2020 11:00:00","Clear","4.05","0.89","1029.6","1.25","1.59","171","0.04","England","London"
"1/1/2020 12:00:00","Clear","5.4","0.86","1029.5","1.29","1.68","174","0.04","England","London"
"1/1/2020 13:00:00","Clear","6.65","0.79","1029.3","1.18","1.48","140","0.05","England","London"
"1/1/2020 14:00:00","Clear","6.48","0.8","1028.6","1.21","1.81","161","0.07","England","London"
"1/1/2020 15:00:00","Clear","5.6","0.85","1028.1","1.29","2.1","173","0.1","England","London"
"1/1/2020 16:00:00","Clear","5.35","0.84","1028.1","1.36","2.27","170","0.12","England","London"
"1/1/2020 17:00:00","Clear","5.14","0.82","1028.3","1.49","2.43","165","0.14","England","London"
"1/1/2020 18:00:00","Clear","4.67","0.83","1028.8","1.28","1.83","145","0.17","England","London"
"1/1/2020 19:00:00","Clear","4.62","0.84","1028.7","1.56","2.29","147","0.2","England","London"
"1/1/2020 20:00:00","Clear","4.63","0.86","1028.4","1.92","2.94","157","0.23","England","London"
"1/1/2020 21:00:00","Clear","4.4","0.89","1028.1","2.16","3.3","165","0.25","England","London"
"1/1/2020 22:00:00","Clear","4.38","0.89","1027.7","2.12","2.99","170","0.24","England","London"
"1/1/2020 23:00:00","Clear","4.3","0.9","1027.3","1.87","2.38","175","0.21","England","London"
"2/1/2020 00:00:00","Clear","4.4","0.92","1026.7","1.76","2.15","180","0.2","England","London"
"2/1/2020 01:00:00","Partly Cloudy","4.68","0.92","1026.7","1.72","2.6","163","0.33","England","London"
"2/1/2020 02:00:00","Partly Cloudy","4.94","0.93","1025.9","2.17","3.53","166","0.52","England","London"
"2/1/2020 03:00:00","Mostly Cloudy","5.3","0.93","1025.1","2.55","4.47","173","0.68","England","London"
"2/1/2020 04:00:00","Mostly Cloudy","5.63","0.93","1024.5","2.65","5.28","181","0.75","England","London"
"2/1/2020 05:00:00","Mostly Cloudy","5.95","0.94","1024.2","2.72","6.12","190","0.8","England","London"
"2/1/2020 06:00:00","Mostly Cloudy","6.2","0.95","1024","2.99","6.44","187","0.84","England","London"
"2/1/2020 07:00:00","Mostly Cloudy","6.5","0.95","1023.6","3.39","7.49","186","0.86","England","London"
"2/1/2020 08:00:00","Mostly Cloudy","6.78","0.95","1023.1","3.88","8.66","185","0.85","England","London"
"2/1/2020 09:00:00","Mostly Cloudy","7.11","0.94","1022.6","4.43","9.66","186","0.86","England","London"
"2/1/2020 10:00:00","Mostly Cloudy","7.89","0.92","1022.1","5.19","10.32","195","0.87","England","London"
"2/1/2020 11:00:00","Overcast","8.62","0.87","1021.5","5.98","10.81","204","0.89","England","London"
"2/1/2020 12:00:00","Overcast","8.75","0.87","1020.9","6.68","11.37","211","0.9","England","London"
"2/1/2020 13:00:00","Overcast","8.76","0.83","1020.4","6.55","11.42","204","0.89","England","London"
"2/1/2020 14:00:00","Overcast","8.6","0.82","1019.5","6.83","12.46","208","0.89","England","London"
"2/1/2020 15:00:00","Overcast","8.58","0.81","1018.7","7.12","13.31","213","0.88","England","London"
"2/1/2020 16:00:00","Overcast","8.74","0.8","1018.2","7.39","13.81","215","0.9","England","London"
"2/1/2020 17:00:00","Overcast","8.73","0.81","1017.8","7.58","14.12","218","0.92","England","London"
"2/1/2020 18:00:00","Overcast","8.93","0.8","1017.5","7.32","13.58","216","0.94","England","London"
"2/1/2020 19:00:00","Overcast","9.23","0.82","1017.1","7.53","14.07","218","0.96","England","London"
"2/1/2020 20:00:00","Overcast","9.62","0.83","1016.8","7.76","14.69","220","0.97","England","London"
"2/1/2020 21:00:00","Overcast","9.88","0.84","1016.5","8.05","15.13","220","0.99","England","London"
"2/1/2020 22:00:00","Overcast","10","0.85","1016.2","8.18","15.18","218","0.99","England","London"
"2/1/2020 23:00:00","Overcast","10.13","0.86","1015.8","8.2","15.05","214","0.99","England","London"
"3/1/2020 00:00:00","Overcast","10.27","0.88","1015.4","8.09","14.88","211","0.99","England","London"
"3/1/2020 01:00:00","Overcast","10.36","0.89","1014.9","8.17","15.45","204","0.99","England","London"
"3/1/2020 02:00:00","Possible Light Rain","10.57","0.91","1014","8.59","15.86","209","0.99","England","London"
"3/1/2020 03:00:00","Possible Light Rain","10.35","0.93","1013.6","8.67","15.88","216","0.99","England","London"
"3/1/2020 04:00:00","Light Rain","10.23","0.93","1013.6","8.13","15.2","225","0.99","England","London"
"3/1/2020 05:00:00","Drizzle","9.96","0.93","1014.1","7.2","14.16","235","0.99","England","London"
"3/1/2020 06:00:00","Possible Drizzle","9.72","0.93","1014.7","6.74","13.78","240","0.99","England","London"
"3/1/2020 07:00:00","Possible Drizzle","9.71","0.94","1015.1","6.27","12.94","259","0.97","England","London"
"3/1/2020 08:00:00","Possible Drizzle","9.75","0.95","1015.6","5.88","12.08","269","0.94","England","London"
"3/1/2020 09:00:00","Overcast","9.51","0.96","1016.4","5.68","11.53","260","0.93","England","London"
"3/1/2020 10:00:00","Overcast","8.81","0.94","1017.8","6.01","11.66","174","0.94","England","London"
"3/1/2020 11:00:00","Overcast","7.74","0.89","1019.6","6.58","12.09","46","0.96","England","London"
"3/1/2020 12:00:00","Overcast","6.99","0.83","1021.2","6.87","12.14","319","0.94","England","London"
